numid;pid;vid;lid;sid;postcode_left;straat_left;woonplaatsnaam;huisnummer;huisletter;huisnummertoevoeging;oppervlakte;woningequivalent;gebruiksdoelen;pand_bouwjaar;pc6_gemiddelde_woz_waarde_woning;gemiddelde_gemeente_woz;pc6_eigendomssituatie_perc_koop;pc6_eigendomssituatie_perc_huur;pc6_eigendomssituatie_aantal_woningen_corporaties;netbeheerder;energieklasse;woning_type;sbicode;gas_ean_count;p6_grondbeslag_m2;p6_gasm3_2023;p6_gas_aansluitingen_2023;p6_kwh_2023;p6_kwh_productie_2023;point;buurtcode;buurtnaam;wijkcode;wijknaam;gemeentecode;gemeentenaam;provincienaam;provinciecode;geometry;id;stad;straat_right;huisaanduiding;postcode_right;res_regio;provincie;gemeente;buurt;wijk;gebruiksdoel;woning_status;bouwjaar;voetafdruk_oppervlakte_m2;groot_dak;rijksmonument;beschermd_stadsgezicht;gemeentelijk_monument;geschiktheid;dak_oppervlakte_m2;dak_oppervlakte_geschikt_m2;potentie_n_panelen;totale_potentie_kwh_per_jaar;resterende_potentie_kwh;sde_status_adres;zonnepanelen_aanwezig_2024;nieuwe_panelen_tov_2023;co2_ton_bespaard_per_jaar
3,612E+14;361100000037963.0;8,2815E+11;0;0;1826GJ;Buizerdweg;Alkmaar;88;;;118.000.000;1;woonfunctie;1981;285;287;100;0;0;liander;;;;1;1956;1.043.000.000;28;2.396.000.000;674.000.000;POINT (4.760764323314687 52.658781124005515);BU03610602;De Horn-Noord;WK036106;De Mare;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.760764323314687 52.658781124005515);Zonnepanelen.361100000037963;Alkmaar;Buizerdweg;88;1826GJ;Noord Holland Noord;Noord-Holland;Alkmaar;De Horn-Noord;De Mare;woonfunctie;Pand in gebruik;1981;55;Nee;Nee;Nee;Nee;Mogelijk geschikt;55;20;7;2280;0;Niet geschikt;Nee;Nee;0.4
3,612E+14;361100000032091.0;8,2815E+11;0;0;1825AM;Houtdraaierstraat;Alkmaar;30;;;87.000.000;1;woonfunctie;1981;243;287;90;0;0;liander;;;;1;1290;955.000.000;38;2.078.000.000;540.000.000;POINT (4.746380658949395 52.64932797326908);BU03610600;'t Rak-Zuid;WK036106;De Mare;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.746380658949395 52.64932797326908);Zonnepanelen.361100000032091;Alkmaar;Houtdraaierstraat;30;1825AM;Noord Holland Noord;Noord-Holland;Alkmaar;'t Rak-Zuid;De Mare;woonfunctie;Pand in gebruik;1981;58;Nee;Nee;Nee;Nee;Mogelijk geschikt;58;17;6;1930;0;Niet geschikt;Nee;Nee;0.4
3,612E+14;361100000106735.0;8,28151E+11;0;0;1829XG;Ceresstraat;Oudorp;36;;;17.000.000;0;overige gebruiksfunctie;1974;375;287;100;0;0;liander;;;;0;0;0.000000;0;2.526.000.000;443.000.000;POINT (4.778092917640597 52.6286413860631);BU03610201;Oudorp-Noord en Oudorp-Oost;WK036102;Oudorp;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.778092917640597 52.6286413860631);Zonnepanelen.361100000106735;Oudorp;Ceresstraat;36;1829XG;Noord Holland Noord;Noord-Holland;Alkmaar;Oudorp-Noord en Oudorp-Oost;Oudorp;overige gebruiksfunctie;Pand in gebruik;1974;21;Nee;Nee;Nee;Nee;Mogelijk geschikt;21;12;4;1380;0;Niet geschikt;Nee;Nee;0.3
4,582E+14;458100000003970.0;8,28151E+11;0;0;1843JP;Zuideinde;Grootschermer;42;;;88.000.000;1;woonfunctie;1957;309;287;30;70;15;liander;A;Twee-onder-een-kap / rijwoning hoek;;1;1950;929.000.000;51;3.011.000.000;641.000.000;POINT (4.84893181039844 52.578642479321516);BU03610906;Grootschermer;WK036109;Schermer;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.84893181039844 52.578642479321516);Zonnepanelen.458100000003970;Grootschermer;Zuideinde;42;1843JP;Noord Holland Noord;Noord-Holland;Alkmaar;Grootschermer;Schermer;woonfunctie;Pand in gebruik;1957;53;Nee;Nee;Nee;Nee;Mogelijk geschikt;53;16;6;1870;0;Niet geschikt;Nee;Nee;0.4
3,612E+14;361100000102602.0;8,28151E+11;0;0;1817GR;Berliozstraat;Alkmaar;63;;;18.000.000;0;overige gebruiksfunctie;1966;410;287;80;0;0;liander;;;;0;0;0.000000;0;2.670.000.000;849.000.000;POINT (4.736697743388858 52.644083682873514);BU03610404;Bergermeer;WK036104;West;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.736697743388858 52.644083682873514);Zonnepanelen.361100000102602;Alkmaar;Berliozstraat;63;1817GR;Noord Holland Noord;Noord-Holland;Alkmaar;Bergermeer;West;overige gebruiksfunctie;Pand in gebruik;1966;19;Nee;Nee;Nee;Nee;Mogelijk geschikt;19;10;4;1190;0;Niet geschikt;Nee;Nee;0.2
3,612E+14;361100000033049.0;8,28151E+11;0;0;1826AZ;Schouwstraat;Alkmaar;42;;;100.000.000;1;woonfunctie;1979;265;287;100;0;0;liander;;;;1;1144;1.095.000.000;27;2.296.000.000;160.000.000;POINT (4.7641761562445835 52.65079080346794);BU03610603;De Horn-Zuid;WK036106;De Mare;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.7641761562445835 52.65079080346794);Zonnepanelen.361100000033049;Alkmaar;Schouwstraat;42;1826AZ;Noord Holland Noord;Noord-Holland;Alkmaar;De Horn-Zuid;De Mare;woonfunctie;Pand in gebruik;1979;54;Nee;Nee;Nee;Nee;Mogelijk geschikt;54;15;6;1740;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000104259.0;8,28152E+11;0;0;1811CB;Oudegracht;Alkmaar;71;;;56.000.000;1;woonfunctie;1901;168;287;0;0;0;liander;;;;0;0;0.000000;0;2.729.000.000;42.000.000;POINT (4.751105831344673 52.62738986249876);BU03610801;Binnenstad-Oost;WK036108;Centrum;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.751105831344673 52.62738986249876);Zonnepanelen.361100000104259;Alkmaar;Oudegracht;"87; 91; 89; 65; 67; 69; 71; 63; 73; 61; 59; 75; 57; 77; 55; 79; 53; 81; 51; 83; 49; 85; 47; 45";1811CB;Noord Holland Noord;Noord-Holland;Alkmaar;Binnenstad-Oost;Centrum;woonfunctie;Pand in gebruik;1901;743;Nee;Ja;Nee;Nee;Mogelijk geschikt;743;58;21;6730;0;Niet geschikt;Nee;Nee;1.3
3,612E+14;361100000035218.0;8,28152E+11;0;0;1825DX;Orgelmakerstraat;Alkmaar;20;;;86.000.000;1;woonfunctie;1981;262;287;90;0;0;liander;C;Rijwoning tussen;;1;1972;1.005.000.000;38;3.968.000.000;773.000.000;POINT (4.745782112563993 52.65369641438748);BU03610600;'t Rak-Zuid;WK036106;De Mare;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.745782112563993 52.65369641438748);Zonnepanelen.361100000035218;Alkmaar;Orgelmakerstraat;20;1825DX;Noord Holland Noord;Noord-Holland;Alkmaar;'t Rak-Zuid;De Mare;woonfunctie;Pand in gebruik;1981;47;Nee;Nee;Nee;Nee;Mogelijk geschikt;47;23;8;2930;2640;Niet geschikt;Ja;Ja;0.5
3,612E+14;361100000009402.0;8,28153E+11;0;0;1814CJ;Nieuwlandersingel;Alkmaar;32;;;63.000.000;1;woonfunctie;1901;305;287;90;0;0;liander;;;;1;5940;1.718.000.000;32;6.013.000.000;422.000.000;POINT (4.747597721339427 52.627404769377165);BU03610102;Staatsliedenkwartier en Landstraten;WK036101;Zuid;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.747597721339427 52.627404769377165);Zonnepanelen.361100000009402;Alkmaar;Nieuwlandersingel;32;1814CJ;Noord Holland Noord;Noord-Holland;Alkmaar;Staatsliedenkwartier en Landstraten;Zuid;woonfunctie;Pand in gebruik;1901;44;Nee;Nee;Nee;Nee;Mogelijk geschikt;44;10;4;1120;0;Niet geschikt;Nee;Nee;0.2
3,612E+14;361100000104985.0;8,28153E+11;0;0;1811MG;Kooltuin;Alkmaar;8;;;198.000.000;1;winkelfunctie, woonfunctie;1875;293;287;60;40;0;liander;G;Appartement;;1;3014;1.117.000.000;57;1.802.000.000;25.000.000;POINT (4.752513444939628 52.63169785915821);BU03610801;Binnenstad-Oost;WK036108;Centrum;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.752513444939628 52.63169785915821);Zonnepanelen.361100000104985;Alkmaar;Kooltuin;"9E; 9B; 9A; 9D; 9C; 8; 8";1811MG;Noord Holland Noord;Noord-Holland;Alkmaar;Binnenstad-Oost;Centrum;winkelfunctie, woonfunctie;Pand in gebruik;1875;123;Nee;Nee;Nee;Nee;Mogelijk geschikt;123;14;5;1620;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000100530.0;8,28153E+11;0;0;1815JJ;Westerweg;Alkmaar;155;;;99.000.000;1;woonfunctie;1930;473;287;100;0;0;liander;C;Rijwoning tussen;;1;3134;1.451.000.000;43;2.775.000.000;871.000.000;POINT (4.726230240521045 52.62451426567326);BU03610106;Oranjepark;WK036101;Zuid;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.726230240521045 52.62451426567326);Zonnepanelen.361100000100530;Alkmaar;Westerweg;155;1815JJ;Noord Holland Noord;Noord-Holland;Alkmaar;Oranjepark;Zuid;woonfunctie;Pand in gebruik;1930;46;Nee;Nee;Nee;Nee;Mogelijk geschikt;46;16;6;1810;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000003062.0;8,28154E+11;0;0;1815LD;Kennemerstraatweg;Alkmaar;122;;;146.000.000;1;woonfunctie;1909;479;287;100;0;0;liander;E;Rijwoning tussen;;1;5416;1.659.000.000;25;3.757.000.000;749.000.000;POINT (4.733889181370789 52.620647964082956);BU03610106;Oranjepark;WK036101;Zuid;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.733889181370789 52.620647964082956);Zonnepanelen.361100000003062;Alkmaar;Kennemerstraatweg;122;1815LD;Noord Holland Noord;Noord-Holland;Alkmaar;Oranjepark;Zuid;woonfunctie;Pand in gebruik;1909;75;Nee;Nee;Nee;Nee;Mogelijk geschikt;75;17;6;2000;0;Niet geschikt;Nee;Nee;0.4
3,612E+14;361100000036021.0;8,28154E+11;0;0;1825EB;Pruikenmakerstraat;Alkmaar;26;;;68.000.000;1;woonfunctie;1981;270;287;100;0;0;liander;C;Twee-onder-een-kap / rijwoning hoek;;1;1427;977.000.000;35;2.508.000.000;555.000.000;POINT (4.745774169082641 52.65500825745589);BU03610600;'t Rak-Zuid;WK036106;De Mare;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.745774169082641 52.65500825745589);Zonnepanelen.361100000036021;Alkmaar;Pruikenmakerstraat;26;1825EB;Noord Holland Noord;Noord-Holland;Alkmaar;'t Rak-Zuid;De Mare;woonfunctie;Pand in gebruik;1981;46;Nee;Nee;Nee;Nee;Mogelijk geschikt;46;15;5;1730;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000100201.0;8,28154E+11;0;0;1814GN;Kooimeerlaan;Alkmaar;5;;;98.000.000;1;woonfunctie;1936;406;287;0;0;0;liander;;;;1;3658;2.192.000.000;51;3.483.000.000;117.000.000;POINT (4.732506585423521 52.61888091669535);BU03610109;Burgemeesterskwartier;WK036101;Zuid;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.732506585423521 52.61888091669535);Zonnepanelen.361100000100201;Alkmaar;Kooimeerlaan;5;1814GN;Noord Holland Noord;Noord-Holland;Alkmaar;Burgemeesterskwartier;Zuid;woonfunctie;Pand in gebruik;1936;56;Nee;Nee;Nee;Nee;Mogelijk geschikt;56;13;5;1500;0;Niet geschikt;Nee;Nee;0.3
3,612E+14;361100000043111.0;8,28154E+11;0;0;1827MG;Marga Klompéstraat;Alkmaar;3;;;142.000.000;1;woonfunctie;1989;415;287;100;0;0;liander;;;;1;2933;1.005.000.000;47;2.951.000.000;1.918.000.000;POINT (4.770170228824303 52.66705525520577);BU03610700;Daalmeer-Zuidoost;WK036107;Daalmeer/Koedijk;GM0361;Alkmaar;Noord-Holland;PV27;POINT (4.770170228824303 52.66705525520577);Zonnepanelen.361100000043111;Alkmaar;Marga KlompÃ©straat;3;1827MG;Noord Holland Noord;Noord-Holland;Alkmaar;Daalmeer-Zuidoost;Daalmeer/Koedijk;woonfunctie;Pand in gebruik;1989;82;Nee;Nee;Nee;Nee;Mogelijk geschikt;82;15;5;5380;1700;Niet geschikt;Ja;Nee;1.0
